Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Sector,Daily Return,Cumulative Return,MA50,MA200,Change %,Country
1/2/2024,187.1499939,188.4400024,183.8899994,185.6399994,184.0815125,82488700,AAPL,Technology,-0.035786612,1.537707006,185.2004568,177.7749421,,
1/3/2024,184.2200012,185.8800049,183.4299927,184.25,182.7031708,58414500,AAPL,Technology,-0.00748767,1.518705492,185.4304584,177.9230692,,
1/4/2024,182.1499939,183.0899963,180.8800049,181.9100037,180.3828125,71983600,AAPL,Technology,-0.012700153,1.486717546,185.6116766,178.0477431,,
1/5/2024,181.9900055,182.7599945,180.1699982,181.1799927,179.6589355,62379700,AAPL,Technology,-0.004013004,1.476738339,185.7697021,178.1595144,,
1/8/2024,182.0899963,185.6000061,181.5,185.5599976,184.0021667,59144500,AAPL,Technology,0.024174869,1.536613163,186.0609384,178.3001619,,
1/9/2024,183.9199982,185.1499939,182.7299957,185.1399994,183.5856934,42841800,AAPL,Technology,-0.002263416,1.530871753,186.4272284,178.4332952,,
1/10/2024,184.3500061,186.3999939,183.9199982,186.1900024,184.6269073,46792900,AAPL,Technology,0.005671542,1.545225699,186.7880008,178.5651165,,
1/11/2024,186.5399933,187.0500031,183.6199951,185.5899963,184.0318909,49128400,AAPL,Technology,-0.003222805,1.537022934,187.0958746,178.7036906,,
1/12/2024,186.0599976,186.7400055,185.1900024,185.9199982,184.3591461,40477800,AAPL,Technology,0.001778253,1.541534402,187.4007867,178.8470117,,
1/16/2024,182.1600037,184.2599945,180.9299927,183.6300049,182.0883789,65603000,AAPL,Technology,-0.012317085,1.510230108,187.5969043,178.9635725,,
1/17/2024,181.2700043,182.9299927,180.3000031,182.6799927,181.146347,47317400,AAPL,Technology,-0.005173487,1.497243465,187.7028796,179.0675716,,
1/18/2024,186.0899963,189.1399994,185.8300018,188.6300049,187.0463867,78005800,AAPL,Technology,0.032570569,1.578580106,187.9450778,179.1885286,,
1/19/2024,189.3300018,191.9499969,188.8200073,191.5599976,189.9518127,68903000,AAPL,Technology,0.015533184,1.618633667,188.1942844,179.3177414,,
1/22/2024,192.3000031,195.3300018,192.2599945,193.8899994,192.2622375,60133900,AAPL,Technology,0.012163215,1.650484672,188.4384015,179.4611729,,
1/23/2024,195.0200043,195.75,193.8300018,195.1799927,193.5413971,42355600,AAPL,Technology,0.006653202,1.668118883,188.6869092,179.6202342,,
1/24/2024,195.4199982,196.3800049,194.3399963,194.5,192.8671112,53631300,AAPL,Technology,-0.003483936,1.658823326,188.9314386,179.7714799,,
1/25/2024,195.2200012,196.2700043,193.1100006,194.1699982,192.5398712,54822100,AAPL,Technology,-0.001696712,1.654312068,189.0855334,179.9340762,,
1/26/2024,194.2700043,194.7599945,191.9400024,192.4199982,190.8045502,44594000,AAPL,Technology,-0.009012788,1.630389316,189.2366534,180.0940696,,
1/29/2024,192.0099945,192.1999969,189.5800018,191.7299957,190.1203918,47145600,AAPL,Technology,-0.00358565,1.620957661,189.3217334,180.2540987,,
1/30/2024,190.9400024,191.8000031,187.4700012,188.0399933,186.4613495,55859400,AAPL,Technology,-0.019245923,1.570514913,189.3223285,180.3688715,,
1/31/2024,187.0399933,187.1000061,184.3500061,184.3999939,182.8518982,55467800,AAPL,Technology,-0.019357638,1.520755816,189.2170197,180.4673252,,
2/1/2024,183.9900055,186.9499969,183.8200073,186.8600006,185.2912598,64885400,AAPL,Technology,0.013340641,1.554384315,189.1608948,180.5778769,,
2/2/2024,179.8600006,187.3300018,179.25,185.8500061,184.2897491,102551700,AAPL,Technology,-0.005405061,1.540577711,189.0498352,180.677298,,
2/5/2024,188.1499939,189.25,185.8399963,187.6799927,186.1043701,69668800,AAPL,Technology,0.009846565,1.565593674,188.9911322,180.7800639,,
